Nom,Adresse,Ville,Metier_normalise,Heures_ouverture,Nombre_avis,Note,Jours_fermeture,Date_introduction,Date_verification,Filtré,Actif
The Barber Company - Coiffeur Barbier Marseille,"11 Rue Montaigne, 13012 Marseille, France",Marseille,Coiffeur_Barbier,lundi: 09:00 – 19:00; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: 09:00 – 19:00; dimanche: Fermé,368,4.7,1,2025-10-22,2025-10-24,Non,Oui
The Barber Company - Coiffeur Barbier MARSEILLE,"Rte de la Sablière, 13011 Marseille, France",Marseille,Coiffeur_Barbier,lundi: 09:00 – 20:00; mardi: 09:00 – 20:00; mercredi: 09:00 – 20:00; jeudi: 09:00 – 20:00; vendredi: 09:00 – 20:00; samedi: 09:00 – 20:00; dimanche: Fermé,434,4.6,1,2025-10-22,2025-10-24,Non,Oui
The Barber Marseille,"71 Rue de Rome, 13001 Marseille, France",Marseille,Coiffeur_Barbier,lundi: 10:00 – 19:00; mardi: 10:00 – 19:00; mercredi: 10:00 – 19:00; jeudi: 10:00 – 19:00; vendredi: 10:00 – 19:00; samedi: 10:00 – 19:00; dimanche: 10:00 – 19:00,340,4.7,0,2025-10-22,2025-10-24,Non,Oui
Top Barbier,"32 Rue de la République, 13001 Marseille, France",Marseille,Coiffeur_Barbier,lundi: 09:30 – 19:00; mardi: 09:30 – 19:00; mercredi: 09:30 – 19:00; jeudi: 09:30 – 19:00; vendredi: 09:30 – 19:00; samedi: 09:30 – 19:00; dimanche: Fermé,185,4.8,1,2025-10-22,2025-10-24,Non,Oui
Trust'S Marseille,"34 Rue Saint-Jacques, 13006 Marseille, France",Marseille,Coiffeur_Barbier,,,,,2025-10-22,2025-10-22,Non,Oui
Une Table au Sud,"2 Quai du Port, 13002 Marseille, France",Marseille,Restaurant,,,,,2025-10-22,2025-10-22,Non,Oui
VIP Barber,"41 Rue de la République, 38430 Moirans, France",Moirans,Coiffeur_Barbier,Non disponible,3,5,0,2025-10-22,2025-10-24,Non,Oui
Wood la cantine gourmande,"8 Rue de la Guirlande, 13002 Marseille, France",Marseille,Restaurant,lundi: Fermé; mardi: 11:00 – 22:00; mercredi: Fermé; jeudi: 11:00 – 16:30; vendredi: 11:00 – 22:00; samedi: 11:00 – 17:30; dimanche: Fermé,1006,4.7,3,2025-10-22,2025-10-24,Non,Oui
Xenon,"340 Rue de l'Eygala, 38430 Moirans, France",Moirans,Dentiste,Non disponible,6,4,0,2025-10-22,2025-10-24,Non,Oui
Ōbarbier - Marseille Valentine - Maison de Coiffure,"Centre Commercial, 1 Trav. de la Sablière, 13011 Marseille, France",Marseille,Coiffeur_Barbier,lundi: 10:00 – 19:30; mardi: 10:00 – 19:30; mercredi: 10:00 – 19:30; jeudi: 10:00 – 19:30; vendredi: 10:00 – 19:30; samedi: 10:00 – 19:30; dimanche: Fermé,1061,4.8,1,2025-10-22,2025-10-24,Non,Oui
1391 Notaires - Maître Pascal TATONI et Maître Paola BORELLI - Office Notarial,"20 All. Turcat Méry, 13008 Marseille Cedex 8, France",Marseille,Notaire,"lundi: 09:00 – 12:00, 14:00 – 18:00; mardi: 09:00 – 12:00, 14:00 – 18:00; mercredi: 09:00 – 12:00, 14:00 – 18:00; jeudi: 09:00 – 12:00, 14:00 – 18:00; vendredi: 09:00 – 12:00, 14:00 – 17:00; samedi: Fermé; dimanche: Fermé",94,4.3,2,2025-10-22,2025-10-24,Non,Oui
Académie d'Aïkido de Moirans (3aKH),"Centre omnisports Espace Lionel Terray, 38430 Moirans, France",Moirans,Enseignant,lundi: 19:00 – 22:00; mardi: Fermé; mercredi: Fermé; jeudi: Fermé; vendredi: Fermé; samedi: Fermé; dimanche: Fermé,1,5,6,2025-10-22,2025-10-24,Non,Oui
Académie de la langue arabe de Marseille,"26 Rue de la République Centre Hiptown, 13002 Marseille, France",Marseille,Enseignant,lundi: 09:00 – 14:00; mardi: 09:00 – 18:30; mercredi: 09:00 – 18:30; jeudi: 09:00 – 18:30; vendredi: 09:00 – 18:30; samedi: 09:00 – 16:00; dimanche: Fermé,28,5,1,2025-10-22,2025-10-24,Non,Oui
Acsan Assistance Scolaire,"2 Rue de Mondovi, 13006 Marseille, France",Marseille,Enseignant,"lundi: 09:00 – 12:30, 14:00 – 18:30; mardi: 09:00 – 12:30, 14:00 – 18:30; mercredi: 09:00 – 12:30, 14:00 – 18:30; jeudi: 09:00 – 12:30, 14:00 – 18:30; vendredi: 09:00 – 12:30, 14:00 – 18:00; samedi: Fermé; dimanche: Fermé",16,4.6,2,2025-10-22,2025-10-24,Non,Oui
"AGC CEGAR - Alpes - Comptabilité, expertise, gestion agricole et rurale","184 Rte des Béthanies, 38430 Moirans, France",Moirans,Comptable,lundi: 09:00 – 16:00; mardi: 09:00 – 16:00; mercredi: 09:00 – 16:00; jeudi: 09:00 – 16:00; vendredi: 09:00 – 16:00; samedi: Fermé; dimanche: Fermé,1,5,2,2025-10-22,2025-10-24,Non,Oui
Agnès BOUZON-ROULLE Avocat - Droit immobilier - Droit de la famille,"2 Pl. Félix Baret, 13006 Marseille, France",Marseille,Avocat,"lundi: 09:00 – 13:00, 14:00 – 19:30; mardi: 09:00 – 13:00, 14:00 – 19:30; mercredi: 09:00 – 13:00, 14:00 – 19:30; jeudi: 09:00 – 13:00, 14:00 – 19:30; vendredi: 09:00 – 13:00, 14:00 – 19:30; samedi: Fermé; dimanche: Fermé",109,4.9,2,2025-10-22,2025-10-24,Non,Oui
Agori Nord-Isère,"170 Rue de Chatagnon, 38430 Moirans, France",Moirans,Comptable,lundi: 08:30 – 17:00; mardi: 08:30 – 17:00; mercredi: Fermé; jeudi: 08:30 – 17:00; vendredi: 08:30 – 17:00; samedi: Fermé; dimanche: Fermé,0,0.0,3,2025-10-22,2025-10-24,Non,Oui
Aix-Marseille School of Economics,"5-9 Bd Maurice Bourdet, 13001 Marseille, France",Marseille,Enseignant,,,,,2025-10-22,2025-10-22,Non,Oui
ALEXANDRIVER chauffeur privé Marseille VTC,"La Valentine, 13011 Marseille, France",Marseille,Chauffeur,lundi: Ouvert 24h/24; mardi: Ouvert 24h/24; mercredi: Ouvert 24h/24; jeudi: Ouvert 24h/24; vendredi: Ouvert 24h/24; samedi: Ouvert 24h/24; dimanche: Ouvert 24h/24,46,5,6,2025-10-22,2025-10-24,Non,Oui
Alice MORA-GREGOIRE et Yann-Thibault RIMBERT-PIROT Notaires 13004,"9 Rue de Provence, 13004 Marseille, France",Marseille,Notaire,"lundi: 09:00 – 12:00, 14:00 – 19:00; mardi: 09:00 – 12:00, 14:00 – 19:00; mercredi: 09:00 – 12:00, 14:00 – 19:00; jeudi: 09:00 – 12:00, 14:00 – 19:00; vendredi: 09:00 – 12:00, 14:00 – 19:00; samedi: 09:00 – 12:00; dimanche: Fermé",96,4.6,1,2025-10-22,2025-10-24,Non,Oui
"Alimentation De Nuit Et JOURS, STAR NIGHT SHOP , CAPELETTE","178 Av. de la Capelette, 13010 Marseille, France",Marseille,Superette,lundi: 10:00 – 05:00; mardi: 10:00 – 05:00; mercredi: 10:00 – 05:00; jeudi: 10:00 – 05:00; vendredi: 10:00 – 05:00; samedi: 10:00 – 05:00; dimanche: 10:00 – 05:00,90,4.3,0,2025-10-22,2025-10-24,Non,Oui
Alimentation Supérette beauvau,"10 Rue Beauvau, 13001 Marseille, France",Marseille,Superette,lundi: 10:00 – 06:00; mardi: 10:00 – 06:00; mercredi: 10:00 – 06:00; jeudi: 10:00 – 06:00; vendredi: 10:00 – 06:00; samedi: 10:00 – 06:30; dimanche: 10:00 – 06:30,29,4.6,0,2025-10-22,2025-10-24,Non,Oui
Amane Expertise & Audit,"25 Rue Francis Davso, 13001 Marseille, France",Marseille,Comptable,,,,,2025-10-22,2025-10-22,Non,Oui
AMBRINE COOK TRAITEUR MARSEILLE,"30 Av. des Olives, 13013 Marseille, France",Marseille,Boucherie_traiteur_rotisseur,lundi: 10:00 – 19:00; mardi: 10:00 – 19:00; mercredi: 10:00 – 19:00; jeudi: 10:00 – 19:00; vendredi: 10:00 – 19:00; samedi: 10:00 – 19:00; dimanche: Fermé,103,5,1,2025-10-22,2025-10-24,Non,Oui
AMG Avocats,"6 Bd de Dunkerque, 13002 Marseille, France",Marseille,Avocat,lundi: 09:00 – 18:00; mardi: 09:00 – 18:00; mercredi: 09:00 – 18:00; jeudi: 09:00 – 18:00; vendredi: 09:00 – 18:00; samedi: Fermé; dimanche: Fermé,127,5,2,2025-10-22,2025-10-24,Non,Oui
Anaïs CLÉMENT et Pauline BERNERD (successeurs de Me Dominique JACQUOT),"32 Bd de la République, 38500 Voiron, France",Voiron,Notaire,,,,,2025-10-22,2025-10-22,Non,Oui
Ararat - Épicerie fine Marseille,"25 All. de la Grande Bastide Cazaulx, 13012 Marseille, France",Marseille,Superette,"lundi: 08:30 – 13:00, 15:00 – 19:30; mardi: 08:30 – 13:00, 15:00 – 19:30; mercredi: 08:30 – 13:00, 15:00 – 19:30; jeudi: 08:30 – 13:00, 15:00 – 19:30; vendredi: 08:30 – 19:30; samedi: 08:30 – 19:30; dimanche: Fermé",147,4.5,1,2025-10-22,2025-10-24,Non,Oui
Asian Express,"8 Av. Jean Jaurès, 38500 Voiron, France",Voiron,Boucherie_traiteur_rotisseur,"lundi: 10:00 – 14:00, 17:00 – 21:00; mardi: 10:00 – 14:00, 17:00 – 21:00; mercredi: 10:00 – 14:00, 17:00 – 21:00; jeudi: 10:00 – 14:00, 17:00 – 21:00; vendredi: 10:00 – 14:00, 17:00 – 21:00; samedi: 10:00 – 14:00, 17:00 – 21:00; dimanche: Fermé",34,4.6,1,2025-10-22,2025-10-24,Non,Oui
Atelier des Possibles,"180 Rte de l'Erigny, 38430 Moirans, France",Moirans,Enseignant,,,,,2025-10-22,2025-10-22,Non,Oui
Athon Primeurs,"71 Chem. du Rozat, 38330 Saint-Ismier, France",Saint-Ismier,Superette,"lundi: Fermé; mardi: 07:30 – 12:30, 15:30 – 19:00; mercredi: 07:30 – 12:30, 15:30 – 19:00; jeudi: 07:30 – 12:30, 15:30 – 19:00; vendredi: 07:30 – 12:30, 15:30 – 19:00; samedi: 07:30 – 12:30, 15:30 – 19:00; dimanche: 07:30 – 12:00",29,4.7,1,2025-10-22,2025-10-24,Non,Oui
Atp Formation,"170 Rue de Chatagnon, 38430 Moirans, France",Moirans,Enseignant,lundi: 08:30 – 17:30; mardi: 08:30 – 17:30; mercredi: 08:30 – 17:30; jeudi: 08:30 – 17:30; vendredi: 08:30 – 17:30; samedi: Fermé; dimanche: Fermé,12,4.9,2,2025-10-22,2025-10-24,Non,Oui
Au Boeuf Gourmand,"59 Rue de la République, 38140 Rives, France",Rives,Boucherie_traiteur_rotisseur,"lundi: Fermé; mardi: 07:00 – 12:30, 15:00 – 19:00; mercredi: 07:00 – 12:30, 15:00 – 19:00; jeudi: 07:00 – 12:30, 15:00 – 19:00; vendredi: 07:00 – 12:30, 15:00 – 19:00; samedi: 07:00 – 12:30, 15:00 – 19:00; dimanche: 07:30 – 12:30",148,4.6,1,2025-10-22,2025-10-24,Non,Oui
