Nom,Adresse,Ville,Metier_normalise,Heures_ouverture,Nombre_avis,Note,Jours_fermeture,Date_introduction,Date_verification,Filtré,Actif
Ecole primaire Simone Veil II,"24 Rue de Kerdréan, 38430 Moirans, France",Moirans,Enseignant,Non disponible,0,0.0,0,2025-10-22,2025-10-24,Non,Oui
Ecole Primaire Vendémiaire,"126 Chem. de l'Isle Verte, 38430 Saint-Jean-de-Moirans, France",Saint-Jean-de-Moirans,Enseignant,,,,,2025-10-22,2025-10-22,Non,Oui
Ecole Privée Saint-Exupéry Saint Pierre,"17 Rue de la Scierie, 38430 Moirans, France",Moirans,Enseignant,,,,,2025-10-22,2025-10-22,Non,Oui
"Endrix à Marseille : Expertise-Comptable, Audit et Conseil","19 Rue Roux de Brignoles, 13006 Marseille, France",Marseille,Comptable,lundi: 08:00 – 19:00; mardi: 08:00 – 19:00; mercredi: 08:00 – 19:00; jeudi: 08:00 – 19:00; vendredi: 08:00 – 17:00; samedi: Fermé; dimanche: Fermé,64,4.9,2,2025-10-22,2025-10-24,Non,Oui
Enseignement supérieur Perrimond,"244 Chem. du Roucas Blanc, 13007 Marseille, France",Marseille,Enseignant,Non disponible,35,3.7,0,2025-10-22,2025-10-24,Non,Oui
Epicerie Fine La Boite Noire,"2B Rue Fontange, 13006 Marseille, France",Marseille,Superette,lundi: 15:30 – 19:30; mardi: 10:00 – 19:30; mercredi: 10:00 – 19:30; jeudi: 10:00 – 19:30; vendredi: 10:00 – 19:30; samedi: 10:00 – 19:30; dimanche: Fermé,48,5,1,2025-10-22,2025-10-24,Non,Oui
Epicerie L'IDEAL,"11 Rue d'Aubagne, 13001 Marseille, France",Marseille,Superette,lundi: Fermé; mardi: 09:30 – 19:00; mercredi: 09:30 – 19:00; jeudi: 09:30 – 19:00; vendredi: 09:30 – 19:00; samedi: 09:30 – 19:00; dimanche: Fermé,475,4.3,2,2025-10-22,2025-10-24,Non,Oui
Epicerie paysanne Lodi Local,"67 Rue de Lodi, 13006 Marseille, France",Marseille,Superette,"lundi: 10:00 – 13:30, 16:00 – 19:30; mardi: 10:00 – 13:30, 16:00 – 19:30; mercredi: 10:00 – 13:30, 16:00 – 19:30; jeudi: 10:00 – 13:30, 16:00 – 19:30; vendredi: 10:00 – 13:30, 16:00 – 19:30; samedi: 10:00 – 14:00; dimanche: Fermé",49,4.8,1,2025-10-22,2025-10-24,Non,Oui
EPICERIE SANTA GIULIA,"Rue Emile Zola 85, 13009 Marseille, France",Marseille,Superette,"lundi: Fermé; mardi: 09:30 – 13:00, 15:30 – 19:00; mercredi: 09:30 – 13:00, 15:30 – 19:00; jeudi: 09:30 – 13:00, 15:30 – 19:00; vendredi: 09:30 – 13:00, 15:30 – 19:00; samedi: 09:30 – 13:00, 15:30 – 19:00; dimanche: 09:30 – 12:30",20,5,1,2025-10-22,2025-10-24,Non,Oui
Epicerie Solidaire,"7 Rue Béranger, 38500 Voiron, France",Voiron,Superette,"lundi: Fermé; mardi: 09:00 – 12:30, 15:00 – 18:30; mercredi: 08:30 – 12:30, 15:00 – 18:30; jeudi: 09:00 – 12:30; vendredi: 09:00 – 12:30, 15:00 – 18:30; samedi: 08:30 – 12:30; dimanche: Fermé",27,4.8,2,2025-10-22,2025-10-24,Non,Oui
ESPI Marseille (École Supérieure des Professions Immobilières),"20 Quai du Lazaret, 13002 Marseille, France",Marseille,Enseignant,lundi: 09:00 – 18:00; mardi: 09:00 – 18:00; mercredi: 09:00 – 18:00; jeudi: 09:00 – 18:00; vendredi: 09:00 – 18:00; samedi: Fermé; dimanche: Fermé,23,4.5,2,2025-10-22,2025-10-24,Non,Oui
ETUDE Audrey HOVE-ROYER & Aurélie GUILLAUMOT,"1 Imp. de la Coste, 38430 Moirans, France",Moirans,Notaire,"lundi: 09:30 – 12:00, 14:00 – 18:00; mardi: 09:30 – 12:00, 14:00 – 18:00; mercredi: 09:30 – 12:00, 14:00 – 18:00; jeudi: 09:30 – 12:00, 14:00 – 18:00; vendredi: 09:30 – 12:00, 14:00 – 17:00; samedi: Fermé; dimanche: Fermé",17,4.2,2,2025-10-22,2025-10-24,Non,Oui
Expert Comptable Marseille - OPTASIA CONSEIL,"Le Graphite, 31 Bd Charles Moretti, 13014 Marseille, France",Marseille,Comptable,"lundi: 09:00 – 13:00, 14:00 – 18:00; mardi: 09:00 – 13:00, 14:00 – 18:00; mercredi: 09:00 – 13:00, 14:00 – 18:00; jeudi: 09:00 – 13:00, 14:00 – 18:00; vendredi: 09:00 – 13:00, 14:00 – 17:00; samedi: Fermé; dimanche: Fermé",54,5,2,2025-10-22,2025-10-24,Non,Oui
"Expert comptable Marseille : BBR, des liens qui comptent !","5 Allée Marcel Leclerc Immeuble « Le Virage » - Bât D – 6ème étage, 13008 Marseille, France",Marseille,Comptable,lundi: 08:00 – 19:00; mardi: 08:00 – 19:00; mercredi: 08:00 – 19:00; jeudi: 08:00 – 19:00; vendredi: 08:00 – 19:00; samedi: 08:00 – 12:00; dimanche: Fermé,10,4.6,1,2025-10-22,2025-10-24,Non,Oui
Expert-comptable CABEN EXPERTISE-Expert Comptable Commissaire aux Comptes MARSEILLE,"20 All. Turcat Méry, 13008 Marseille, France",Marseille,Comptable,lundi: 08:30 – 20:00; mardi: 08:30 – 20:00; mercredi: 08:30 – 20:00; jeudi: 08:30 – 20:00; vendredi: 08:00 – 16:00; samedi: Fermé; dimanche: Fermé,39,5,2,2025-10-22,2025-10-24,Non,Oui
Expert-comptable Cabinet Comptable Marseille C2GA,"42 Rue Paradis, 13001 Marseille, France",Marseille,Comptable,lundi: 09:00 – 19:00; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: Fermé; dimanche: Fermé,16,4.8,2,2025-10-22,2025-10-24,Non,Oui
Expert-comptable IN FINE Marseille,"3 Rue Roux de Brignoles, 13006 Marseille, France",Marseille,Comptable,lundi: 09:00 – 18:00; mardi: 09:00 – 18:00; mercredi: 09:00 – 18:00; jeudi: 09:00 – 18:00; vendredi: 09:00 – 13:00; samedi: Fermé; dimanche: Fermé,6,5,2,2025-10-22,2025-10-24,Non,Oui
Expert-comptable SARL J.KALPAC & Cie Marseille - Cabinet d'expertise comptable,"43 Bd de la Blancarde, 13004 Marseille, France",Marseille,Comptable,"lundi: 09:00 – 12:30, 13:30 – 17:30; mardi: 09:00 – 12:30, 13:30 – 17:30; mercredi: 09:00 – 12:30, 13:30 – 17:30; jeudi: 09:00 – 12:30, 13:30 – 17:30; vendredi: 09:00 – 12:30, 13:30 – 17:30; samedi: Fermé; dimanche: Fermé",23,5,2,2025-10-22,2025-10-24,Non,Oui
Experts comptables Marseille - Cabinet 447,"141 Av. du Prado, 13008 Marseille, France",Marseille,Comptable,lundi: 09:00 – 17:30; mardi: 09:00 – 17:30; mercredi: 09:00 – 17:30; jeudi: 09:00 – 17:30; vendredi: 09:00 – 17:30; samedi: Fermé; dimanche: Fermé,25,5,2,2025-10-22,2025-10-24,Non,Oui
FERNAND ET LILY,"45 Rue Coutellerie, 13002 Marseille, France",Marseille,Superette,lundi: 13:00 – 20:00; mardi: 10:00 – 20:00; mercredi: 10:00 – 20:00; jeudi: 10:00 – 20:00; vendredi: 10:00 – 20:00; samedi: 10:00 – 20:00; dimanche: Fermé,131,5,1,2025-10-22,2025-10-24,Non,Oui
Fiorentina - Epicerie Fine Italienne à Marseille,"35 Rue d'Endoume, 13007 Marseille, France",Marseille,Superette,"lundi: 09:30 – 13:00, 16:00 – 20:00; mardi: 09:30 – 13:00, 16:00 – 20:00; mercredi: 09:30 – 13:00, 16:00 – 20:00; jeudi: 09:30 – 13:00, 16:00 – 20:00; vendredi: 09:30 – 13:00, 16:00 – 20:00; samedi: 09:30 – 13:00, 16:00 – 20:00; dimanche: 09:30 – 13:00, 16:00 – 19:00",125,4.2,0,2025-10-22,2025-10-24,Non,Oui
FISEP,"41 Imp. du Saumon, 38430 Moirans, France",Moirans,Enseignant,lundi: 09:00 – 17:00; mardi: 09:00 – 17:00; mercredi: 09:00 – 17:00; jeudi: 09:00 – 17:00; vendredi: 09:00 – 17:00; samedi: Fermé; dimanche: Fermé,123,4.9,2,2025-10-22,2025-10-24,Non,Oui
Fleur De Jade,"53 Rue de la République, 38140 Rives, France",Rives,Boucherie_traiteur_rotisseur,"lundi: Fermé; mardi: 10:30 – 14:00, 16:00 – 19:30; mercredi: 10:30 – 14:00, 16:00 – 19:30; jeudi: 10:30 – 14:00, 16:00 – 19:30; vendredi: 10:30 – 14:00, 16:00 – 19:30; samedi: 10:30 – 14:00, 16:00 – 19:30; dimanche: Fermé",99,4.8,2,2025-10-22,2025-10-24,Non,Oui
Fleur de Sel Réception,"2090 Rte de la Légion, 13400 Aubagne, France",Aubagne,Boucherie_traiteur_rotisseur,lundi: 08:30 – 17:30; mardi: 08:30 – 17:30; mercredi: 08:30 – 17:30; jeudi: 08:30 – 17:30; vendredi: 08:30 – 17:30; samedi: Fermé; dimanche: Fermé,136,4.9,2,2025-10-22,2025-10-24,Non,Oui
Fournout Eric - Artisan Traiteur,"Rue Camille Claudel, 38210 Tullins, France",Tullins,Boucherie_traiteur_rotisseur,lundi: 08:00 – 17:00; mardi: 08:00 – 17:00; mercredi: 08:00 – 12:00; jeudi: 08:00 – 17:00; vendredi: 08:00 – 17:00; samedi: 08:00 – 12:00; dimanche: Fermé,7,4.9,1,2025-10-22,2025-10-24,Non,Oui
Franck Traiteur,"6 Pl. Léopold Baverel, 13008 Marseille, France",Marseille,Boucherie_traiteur_rotisseur,,,,,2025-10-22,2025-10-22,Non,Oui
François Beaume & Franck-Laurent Giralt,"4 Pl. Félix Baret, 13006 Marseille, France",Marseille,Notaire,"lundi: 09:00 – 12:00, 14:00 – 18:00; mardi: 09:00 – 12:00, 14:00 – 18:00; mercredi: 09:00 – 12:00, 14:00 – 18:00; jeudi: 09:00 – 12:00, 14:00 – 18:00; vendredi: 09:00 – 12:00, 14:00 – 17:30; samedi: Fermé; dimanche: Fermé",38,4.2,2,2025-10-22,2025-10-24,Non,Oui
FROMAGERIE chez ninou,"49 Rue Montaigne, 13012 Marseille, France",Marseille,Fromagerie_Laiterie,"lundi: Fermé; mardi: 09:30 – 13:00, 15:30 – 19:00; mercredi: 09:30 – 13:00, 15:30 – 19:00; jeudi: 09:30 – 13:00, 15:30 – 19:00; vendredi: 09:30 – 13:00, 15:30 – 19:00; samedi: 09:30 – 13:00, 15:30 – 19:00; dimanche: Fermé",103,5,2,2025-10-22,2025-10-24,Non,Oui
Fromagerie des Argonautes,"33 Bd Longchamp, 13001 Marseille, France",Marseille,Fromagerie_Laiterie,lundi: 08:00 – 19:30; mardi: 08:00 – 19:30; mercredi: 08:00 – 19:30; jeudi: 08:00 – 19:30; vendredi: 08:00 – 19:30; samedi: 08:00 – 19:30; dimanche: 09:00 – 13:00,68,5,0,2025-10-22,2025-10-24,Non,Oui
Fromagerie Fil Bleu,"203 Rue Paradis, 13006 Marseille, France",Marseille,Fromagerie_Laiterie,"lundi: Fermé; mardi: 09:30 – 13:00, 14:30 – 19:00; mercredi: 09:30 – 13:00, 14:30 – 19:00; jeudi: 09:30 – 13:00, 14:30 – 19:00; vendredi: 09:30 – 13:00, 14:30 – 19:00; samedi: 09:30 – 13:00, 14:30 – 19:00; dimanche: Fermé",69,4.9,2,2025-10-22,2025-10-24,Non,Oui
FROMAGERIE FROUMAÏ,"150 La Canebière, 13001 Marseille, France",Marseille,Fromagerie_Laiterie,"lundi: Fermé; mardi: 09:30 – 13:00, 15:30 – 19:00; mercredi: 09:30 – 13:00, 15:30 – 19:00; jeudi: 09:30 – 13:00, 15:30 – 19:00; vendredi: 09:30 – 13:00, 15:30 – 19:00; samedi: 09:30 – 19:00; dimanche: Fermé",84,4.8,2,2025-10-22,2025-10-24,Non,Oui
Fromagerie Kalou,"24 Av. de Mazargues, 13008 Marseille, France",Marseille,Fromagerie_Laiterie,"lundi: Fermé; mardi: 09:30 – 13:00, 15:30 – 19:00; mercredi: 09:30 – 13:00, 15:30 – 19:00; jeudi: 09:30 – 13:00, 15:30 – 19:00; vendredi: 09:30 – 13:00, 15:30 – 19:00; samedi: 09:30 – 19:00; dimanche: Fermé",132,4.7,2,2025-10-22,2025-10-24,Non,Oui
Fromagerie Les Bons Fromages,"85 Bd Vauban, 13006 Marseille, France",Marseille,Fromagerie_Laiterie,"lundi: Fermé; mardi: 09:30 – 12:30, 16:00 – 19:30; mercredi: 09:30 – 12:30, 16:00 – 19:30; jeudi: 09:30 – 12:30, 16:00 – 19:30; vendredi: 09:30 – 12:30, 16:00 – 19:30; samedi: 09:30 – 13:30, 16:00 – 19:30; dimanche: 09:30 – 12:30",105,4.7,1,2025-10-22,2025-10-24,Non,Oui
Fruits & Légumes,"15 Rue Richard, 13014 Marseille, France",Marseille,Superette,lundi: 07:00 – 21:00; mardi: 07:00 – 21:00; mercredi: 07:00 – 21:00; jeudi: 07:00 – 21:00; vendredi: 07:00 – 21:00; samedi: 07:00 – 21:00; dimanche: 07:00 – 21:00,800,4.2,0,2025-10-22,2025-10-24,Non,Oui
Fruits & Primeurs Terre De Provence,"3 Rue Saint-Michel, 13006 Marseille, France",Marseille,Superette,lundi: 07:00 – 20:00; mardi: 07:00 – 20:00; mercredi: 07:00 – 20:00; jeudi: 07:00 – 20:00; vendredi: 07:00 – 20:00; samedi: 07:00 – 20:00; dimanche: 07:00 – 20:00,18,3.6,0,2025-10-22,2025-10-24,Non,Oui
Fruits et Légumes des 4 Saisons,"27 Rue des 3 Frères Barthélémy, 13006 Marseille, France",Marseille,Superette,lundi: 07:00 – 20:00; mardi: 07:00 – 20:00; mercredi: 07:00 – 20:00; jeudi: 07:00 – 20:00; vendredi: 07:00 – 20:00; samedi: 07:00 – 20:00; dimanche: 09:00 – 14:00,51,4.2,0,2025-10-22,2025-10-24,Non,Oui
Fruits et Légumes L'olivier,"2 Av. Joseph Vidal, 13008 Marseille, France",Marseille,Superette,lundi: 08:00 – 19:00; mardi: 08:00 – 19:30; mercredi: 08:00 – 19:30; jeudi: 08:00 – 19:30; vendredi: 08:00 – 19:30; samedi: Fermé; dimanche: 08:00 – 19:30,109,4.2,1,2025-10-22,2025-10-24,Non,Oui
Fruits et légumes St Victor,"26 Rue d'Endoume, 13007 Marseille, France",Marseille,Superette,lundi: 07:00 – 20:00; mardi: 07:00 – 20:00; mercredi: 07:00 – 20:00; jeudi: 07:00 – 20:00; vendredi: 07:00 – 20:00; samedi: 07:00 – 20:00; dimanche: 07:00 – 20:00,131,4,0,2025-10-22,2025-10-24,Non,Oui
Gaec Bernadou,"1052 Rte de Champ Chabert, 38500 La Buisse, France",La Buisse,Vin_Spritueux,lundi: Fermé; mardi: Fermé; mercredi: Ouvert 24h/24; jeudi: Fermé; vendredi: Fermé; samedi: Ouvert 24h/24; dimanche: Fermé,1,5,5,2025-10-22,2025-10-24,Non,Oui
GAEC la Amapola,"50 Rte des Maraîchers, 38430 Moirans, France",Moirans,Superette,lundi: Fermé; mardi: Fermé; mercredi: 16:00 – 19:00; jeudi: Fermé; vendredi: Fermé; samedi: Fermé; dimanche: Fermé,9,5,6,2025-10-22,2025-10-24,Non,Oui
Gaec Le Potager Des Iles .,"1885 Rte de la Chenevière, 38430 Moirans, France",Moirans,Superette,Non disponible,14,4.2,0,2025-10-22,2025-10-24,Non,Oui
Gourmands Airlines (Les deux sœurs & co),"4 Rue Prte de la Buisse, 38500 Voiron, France",Voiron,Boucherie_traiteur_rotisseur,lundi: 10:30 – 20:30; mardi: 10:30 – 20:30; mercredi: Fermé; jeudi: 10:30 – 20:30; vendredi: 10:30 – 20:30; samedi: 18:00 – 20:30; dimanche: Fermé,52,4.9,2,2025-10-22,2025-10-24,Non,Oui
H24 market,"7 Bd Dugommier, 13001 Marseille, France",Marseille,Boucherie_traiteur_rotisseur,"lundi: 07:00 – 20:00; mardi: 07:00 – 20:00; mercredi: 07:00 – 20:00; jeudi: 07:00 – 20:00; vendredi: 07:00 – 12:00, 14:00 – 20:00; samedi: 07:00 – 20:00; dimanche: 07:00 – 20:00",100,4.7,0,2025-10-22,2025-10-24,Non,Oui
Habib Philippe,"35 Rue Tapis Vert, 13001 Marseille, France",Marseille,Médecin,,,,,2025-10-22,2025-10-22,Non,Oui
Harmonie Compta,"7 Rue de Milly, 13006 Marseille, France",Marseille,Comptable,lundi: 08:30 – 20:30; mardi: 08:30 – 20:30; mercredi: 08:30 – 20:30; jeudi: 08:30 – 20:30; vendredi: 08:30 – 20:30; samedi: Fermé; dimanche: Fermé,15,5,2,2025-10-22,2025-10-24,Non,Oui
In Extenso Moirans,"137 Rue Mayoussard, 38430 Moirans, France",Moirans,Comptable,"lundi: 08:30 – 12:00, 13:30 – 18:00; mardi: 08:30 – 12:00, 13:30 – 18:00; mercredi: 08:30 – 12:00, 13:30 – 18:00; jeudi: 08:30 – 12:00, 13:30 – 18:00; vendredi: 08:30 – 12:00, 13:30 – 18:00; samedi: Fermé; dimanche: Fermé",1,5,2,2025-10-22,2025-10-24,Non,Oui
Institut Santé Marseille,"14 Rue Louis Astouin, 13002 Marseille, France",Marseille,Enseignant,lundi: 08:30 – 17:00; mardi: 08:30 – 17:00; mercredi: 08:30 – 17:00; jeudi: 08:30 – 17:00; vendredi: 08:30 – 17:00; samedi: Fermé; dimanche: Fermé,40,4.7,2,2025-10-22,2025-10-24,Non,Oui
Institution du Sacré Coeur,"165 Chem. de Morel, 38430 Saint-Jean-de-Moirans, France",Saint-Jean-de-Moirans,Enseignant,"lundi: 08:00 – 12:15, 13:30 – 17:15; mardi: 08:00 – 12:15, 13:30 – 17:15; mercredi: 08:00 – 12:15; jeudi: 08:00 – 12:15, 13:30 – 17:15; vendredi: 08:00 – 12:15, 13:30 – 17:15; samedi: Fermé; dimanche: Fermé",15,4.6,2,2025-10-22,2025-10-24,Non,Oui
Intermarché CONTACT Moirans,"211 Rue Vincent Martin, 38430 Moirans, France",Moirans,Superette,lundi: 08:30 – 19:30; mardi: 08:30 – 19:30; mercredi: 08:30 – 19:30; jeudi: 08:30 – 19:30; vendredi: 08:30 – 19:30; samedi: 08:30 – 19:30; dimanche: 08:45 – 12:30,350,4.1,0,2025-10-22,2025-10-24,Non,Oui
Intermarché CONTACT Moirans,"211 Rue Vincent Martin, 38430 Moirans, France",Moirans,Vin_Spritueux,lundi: 08:30 – 19:30; mardi: 08:30 – 19:30; mercredi: 08:30 – 19:30; jeudi: 08:30 – 19:30; vendredi: 08:30 – 19:30; samedi: 08:30 – 19:30; dimanche: 08:45 – 12:30,350,4.1,0,2025-10-22,2025-10-24,Non,Oui
Intermarché SUPER Marseille,"24 Bd de la Fédération, 13004 Marseille, France",Marseille,Superette,lundi: 08:30 – 20:00; mardi: 08:30 – 20:00; mercredi: 08:30 – 20:00; jeudi: 08:30 – 20:00; vendredi: 08:30 – 20:00; samedi: 08:30 – 20:00; dimanche: 08:30 – 12:30,1655,3.8,0,2025-10-22,2025-10-24,Non,Oui
IS of Marseille,"27 Bd de la Corderie, 13007 Marseille, France",Marseille,Enseignant,lundi: 08:00 – 18:00; mardi: 08:00 – 18:00; mercredi: 08:00 – 18:00; jeudi: 08:00 – 18:00; vendredi: 08:00 – 18:00; samedi: Fermé; dimanche: Fermé,0,0.0,2,2025-10-22,2025-10-24,Non,Oui
JAC' O VIN,"ZC Carrė des Blanchisseries, 6 Rue Louis Leprince Ringuet, 38500 Voiron, France",Voiron,Vin_Spritueux,"lundi: 14:30 – 19:00; mardi: 09:30 – 12:30, 14:30 – 19:00; mercredi: 09:30 – 12:30, 14:30 – 19:00; jeudi: 09:30 – 12:30, 14:30 – 19:00; vendredi: 09:30 – 12:30, 14:30 – 19:00; samedi: 09:00 – 19:00; dimanche: Fermé",54,4.5,1,2025-10-22,2025-10-24,Non,Oui
Jac'o Vin,"38500 Voiron, France",Voiron,Vin_Spritueux,"lundi: Fermé; mardi: 09:30 – 12:30, 15:00 – 19:00; mercredi: 09:30 – 12:30, 15:00 – 19:00; jeudi: 09:30 – 12:30, 15:00 – 19:00; vendredi: 09:30 – 12:30, 15:00 – 19:00; samedi: 09:30 – 12:30, 14:30 – 19:00; dimanche: Fermé",6,4.5,2,2025-10-22,2025-10-24,Non,Oui
John's Traiteur,"18 Rue de Village, 13006 Marseille, France",Marseille,Boucherie_traiteur_rotisseur,lundi: 09:00 – 18:00; mardi: 09:00 – 18:00; mercredi: 09:00 – 18:00; jeudi: 09:00 – 18:00; vendredi: 08:00 – 15:30; samedi: Fermé; dimanche: 09:00 – 12:00,42,4.7,1,2025-10-22,2025-10-24,Non,Oui
Julien AYOUN Avocat Immobilier et droit des affaires,"19 Bd Arthur Michaud, 13015 Marseille, France",Marseille,Avocat,lundi: 09:00 – 19:00; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: Fermé; dimanche: Fermé,121,4.5,2,2025-10-22,2025-10-24,Non,Oui
Kashi Centre Marseillais Des Viandes,"Rue Jean-Marc Cathala, 13002 Marseille, France",Marseille,Boucherie_traiteur_rotisseur,"lundi: 07:00 – 13:00, 15:00 – 19:00; mardi: 07:00 – 13:00, 15:00 – 19:00; mercredi: 07:00 – 13:00, 15:00 – 19:00; jeudi: 07:00 – 13:00, 15:00 – 19:00; vendredi: 07:00 – 13:00, 15:00 – 19:00; samedi: 07:00 – 19:00; dimanche: Fermé",127,4.8,1,2025-10-22,2025-10-24,Non,Oui
L' épicerie Du Fleuve,"85 Bd Longchamp, 13001 Marseille, France",Marseille,Superette,lundi: Fermé; mardi: 08:30 – 19:00; mercredi: 08:30 – 19:00; jeudi: 08:30 – 19:00; vendredi: 08:30 – 20:00; samedi: 09:00 – 19:00; dimanche: Fermé,96,4.9,2,2025-10-22,2025-10-24,Non,Oui
L'Art de la Fromagerie Cinq Avenues,"1 Pl. du Maréchal Fayolle, 13004 Marseille, France",Marseille,Fromagerie_Laiterie,lundi: 09:30 – 19:30; mardi: 09:30 – 19:30; mercredi: 09:30 – 19:30; jeudi: 09:30 – 19:30; vendredi: 09:30 – 19:30; samedi: 09:30 – 19:30; dimanche: 09:30 – 19:30,147,4.6,0,2025-10-22,2025-10-24,Non,Oui
L'Art De La Fromagerie Endoume,"119 Rue d'Endoume, 13007 Marseille, France",Marseille,Fromagerie_Laiterie,"lundi: Fermé; mardi: 10:00 – 13:00, 16:00 – 19:30; mercredi: 10:00 – 13:00, 16:00 – 19:30; jeudi: 10:00 – 13:00; vendredi: 10:00 – 13:00, 16:00 – 19:30; samedi: 09:30 – 13:00, 16:00 – 19:30; dimanche: 09:30 – 12:30",62,4.4,1,2025-10-22,2025-10-24,Non,Oui
L'Art de la Fromagerie Saint Michel,"20 Rue Saint-Michel, 13006 Marseille, France",Marseille,Fromagerie_Laiterie,"lundi: Fermé; mardi: 09:30 – 13:00, 15:30 – 19:30; mercredi: 09:30 – 13:00, 15:30 – 19:30; jeudi: 09:30 – 13:00, 15:30 – 19:30; vendredi: 09:30 – 13:00, 15:30 – 19:30; samedi: 09:30 – 13:30, 15:30 – 19:30; dimanche: 09:30 – 12:30",388,4.5,1,2025-10-22,2025-10-24,Non,Oui
L'Atelier ZAIDI,"2 Rue Montgrand, 13006 Marseille, France",Marseille,Coiffeur_Barbier,lundi: 12:00 – 18:30; mardi: 09:00 – 18:30; mercredi: 09:00 – 18:30; jeudi: 09:00 – 18:30; vendredi: 09:00 – 18:30; samedi: 09:00 – 18:30; dimanche: Fermé,285,4.8,1,2025-10-22,2025-10-24,Non,Oui
L'Authentique Boucherie Charcuterie Rotisserie,"92 Bd de Roux, 13004 Marseille, France",Marseille,Boucherie_traiteur_rotisseur,"lundi: 08:00 – 20:00; mardi: 08:00 – 20:00; mercredi: 08:00 – 20:00; jeudi: 08:00 – 20:00; vendredi: 08:00 – 13:00, 14:30 – 20:00; samedi: 08:00 – 20:00; dimanche: 08:00 – 13:00",31,5,0,2025-10-22,2025-10-24,Non,Oui
L'Eau Vive Voiron,"15 Bd de Charavines, 38500 Voiron, France",Voiron,Superette,lundi: 09:00 – 19:30; mardi: 09:00 – 19:30; mercredi: 09:00 – 19:30; jeudi: 09:00 – 19:30; vendredi: 09:00 – 19:30; samedi: 09:00 – 19:30; dimanche: Fermé,104,4.4,1,2025-10-22,2025-10-24,Non,Oui
L'entretemps,"20 Rte de Grenoble, 38430 Moirans, France",Moirans,Vin_Spritueux,lundi: Fermé; mardi: 10:00 – 20:00; mercredi: 10:00 – 20:00; jeudi: 10:00 – 20:00; vendredi: 10:00 – 22:30; samedi: 10:00 – 20:00; dimanche: Fermé,109,4.4,2,2025-10-22,2025-10-24,Non,Oui
L'Ilot Vert,"299 Av. de Mazargues, 13008 Marseille, France",Marseille,Superette,lundi: 08:00 – 19:30; mardi: 08:00 – 19:30; mercredi: 08:00 – 19:30; jeudi: 08:00 – 19:30; vendredi: 08:00 – 19:30; samedi: 08:00 – 19:30; dimanche: 08:30 – 13:00,194,4.1,0,2025-10-22,2025-10-24,Non,Oui
La Bazarette Epicerie fine,"29 Rue Font de Caylus, 13002 Marseille, France",Marseille,Superette,lundi: 11:30 – 19:00; mardi: 11:30 – 19:00; mercredi: Fermé; jeudi: 11:30 – 19:00; vendredi: 11:30 – 19:00; samedi: 11:00 – 20:00; dimanche: 11:30 – 17:30,163,4.9,1,2025-10-22,2025-10-24,Non,Oui
La bonne épicerie,"103 Boulevard Notre Dame, 13006 Marseille, France",Marseille,Superette,"lundi: 09:00 – 13:00, 15:00 – 19:45; mardi: 09:00 – 13:00, 15:00 – 19:45; mercredi: 09:00 – 13:00, 15:00 – 19:45; jeudi: 09:00 – 13:00, 15:00 – 19:45; vendredi: 09:00 – 13:00, 15:00 – 19:45; samedi: 09:00 – 19:45; dimanche: 09:00 – 13:00, 16:00 – 19:00",97,4.6,0,2025-10-22,2025-10-24,Non,Oui
La Cave Au Tir Bouchon,"ZA de Meaubec, 100 Rte de Maubec, 38140 Beaucroissant, France",Beaucroissant,Vin_Spritueux,"lundi: Fermé; mardi: 09:00 – 12:30, 15:00 – 19:00; mercredi: 09:00 – 12:30, 15:00 – 19:00; jeudi: 09:00 – 12:30, 15:00 – 19:00; vendredi: 09:00 – 12:30, 15:00 – 19:00; samedi: 09:00 – 12:30, 15:00 – 19:00; dimanche: Fermé",99,4.8,2,2025-10-22,2025-10-24,Non,Oui
La Cave de Baille,"133 Bd Baille, 13005 Marseille, France",Marseille,Vin_Spritueux,lundi: Fermé; mardi: 10:00 – 20:00; mercredi: 10:00 – 20:00; jeudi: 10:00 – 20:00; vendredi: 10:00 – 20:00; samedi: 16:00 – 20:00; dimanche: Fermé,295,4.8,2,2025-10-22,2025-10-24,Non,Oui
La Clé Des Champs,"123 Av. de Saint-Julien, 13012 Marseille, France",Marseille,Superette,lundi: 08:00 – 20:00; mardi: 08:00 – 20:00; mercredi: 08:00 – 20:00; jeudi: 08:00 – 20:00; vendredi: 08:00 – 20:00; samedi: 08:00 – 20:00; dimanche: 08:30 – 13:00,150,3.8,0,2025-10-22,2025-10-24,Non,Oui
La Cressonnière,"69 Bd Baille, 13006 Marseille, France",Marseille,Superette,lundi: 07:30 – 20:30; mardi: 07:30 – 20:30; mercredi: 07:30 – 20:30; jeudi: 07:30 – 20:30; vendredi: 07:30 – 20:30; samedi: 07:30 – 20:30; dimanche: 08:30 – 13:00,14,4.6,0,2025-10-22,2025-10-24,Non,Oui
